koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CANDIDATE,19.89913995,10829.0,1.7822,0.154046,76.3
CANDIDATE,40.4195037,6256.0,3.362,0.088069,36.9
CANDIDATE,7.2406612,556.4,0.558,0.232818,13.7
CANDIDATE,3.43591631,23.2,3.133,0.004612,8.7
CANDIDATE,10.181584004,5741.1,3.5089,0.084708,183.6
CANDIDATE,19.620346923,21725.0,2.0038,0.137595,340.5
CANDIDATE,34.84398644,4523.6,2.9315,0.080046,76.8
CANDIDATE,4.64090031,2450.6,35.512,0.333559,296.9
CANDIDATE,1.028436523,8098.0,1.8606,0.673134,89.6
CANDIDATE,235.9986399,20715.0,8.2284,0.14756,271.8
CANDIDATE,39.74893077,15179.0,7.3051,0.134949,561.1
CANDIDATE,13.61014819,5732.9,2.594,0.192842,184.1
CANDIDATE,119.0207044,7430.5,8.1405,0.077431,223.5
CANDIDATE,12.940668656,42450.0,2.4845,0.259639,307.5
CANDIDATE,2.688899233,37492.0,2.11275,0.172543,1011.6
CANDIDATE,12.732624065,6465.7,2.2083,0.082519,210.5
CANDIDATE,83.92494032,7958.7,6.7904,0.086015,182.1
CANDIDATE,3.886655224,581.6,3.1646,0.023262,48.1
CANDIDATE,2.494170338,863.7,1.1221,0.026777,69.2
CANDIDATE,39.4759093,1012.6,2.968,0.036074,26.6
CANDIDATE,9.61731426,234.0,3.8692,0.01416,18.2
CANDIDATE,90.1240507,3020.3,11.649,0.053684,57.9
CANDIDATE,856.672115,858.1,23.144,0.027062,39.2
CANDIDATE,0.689210173,195.0,1.6169,0.012649,93.4
CANDIDATE,3.9886021,673.5,1.7376,0.023067,37.1
CANDIDATE,0.533059312,1495.8,1.8621,0.301918,179.6
CANDIDATE,129995.7784,1474.9,9.408,0.037707,35.7
CANDIDATE,13.118962443,372.2,4.3045,0.017826,267.4
CANDIDATE,7.82187328,42.2,3.8417,0.006005,37.2
CANDIDATE,53.5057611,195.6,10.5616,0.013111,71.2
CANDIDATE,13.4471791,1428.2,3.0454,0.046114,105.3
CANDIDATE,7.37290344,205.2,2.172,0.022864,19.1
CANDIDATE,119.0624882,5372.3,3.1188,0.103475,71.6
CANDIDATE,14.8623076,840.0,3.161,0.025982,14.4
CANDIDATE,16.15811112,2319.8,6.049,0.902495,52.8
CANDIDATE,1295.362215,8708.0,28.297,0.505204,164.0
CANDIDATE,4.2989201,237.6,2.747,0.019694,20.0
CANDIDATE,5.714817603,12295.0,3.14126,0.101045,537.7
CANDIDATE,2.83668931,166.1,3.031,0.011852,12.1
CANDIDATE,1.00861677,23791.335898271922,0.91,0.28364628616454735,259.8950005434192
CANDIDATE,2.624234833,2607.0,1.3874,0.052044,361.1
CANDIDATE,92.77779,359.0,6.64,0.017215,5.2
CANDIDATE,422.917678,1367.7,31.274,0.037343,61.7
CANDIDATE,30.5872153,464.8,5.3698,0.01965,33.1
CANDIDATE,9.95639775,510.5,5.615,0.244849,32.9
CANDIDATE,31.201692472,34514.0,2.15663,0.169571,607.4
CANDIDATE,6.810823723,14447.0,7.98574,0.114797,1441.9
CANDIDATE,51.59809554,5869.2,2.0153,0.070071,79.7
