koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CONFIRMED,9.48803557,615.8,2.9575,0.022344,35.8
CONFIRMED,54.4183827,874.8,4.507,0.027954,25.8
FALSE POSITIVE,1.736952453,8079.2,2.40641,0.387394,505.6
CONFIRMED,2.525591777,603.3,1.6545,0.024064,40.9
CONFIRMED,11.09432054,1517.5,4.5945,0.036779,66.5
CONFIRMED,4.13443512,686.0,3.1402,0.026133,40.2
CONFIRMED,2.56658897,226.5,2.429,0.014983,15.0
FALSE POSITIVE,7.36178958,233.7,5.022,0.183387,47.7
CONFIRMED,16.06864674,4914.3,3.5347,0.062161,161.9
CONFIRMED,2.470613377,14231.0,1.74319,0.123871,4304.3
CONFIRMED,2.204735417,6674.7,3.88864,0.075522,5945.9
CONFIRMED,3.522498429,9145.7,3.19843,0.092086,1741.5
CONFIRMED,3.709214104,131.1,2.6302,0.010424,50.6
FALSE POSITIVE,11.521446064,17984.0,3.6399,1.625358,622.1
FALSE POSITIVE,19.40393776,8918.7,12.2155,0.096729,214.7
FALSE POSITIVE,19.221388942,74284.0,4.79843,0.476633,2317.0
FALSE POSITIVE,16.46983774,10479.0,9.4378,0.092509,303.4
CONFIRMED,9.27358173,1288.3,3.2875,0.032563,87.2
CONFIRMED,6.02930329,1912.7,1.5821,0.038838,65.4
FALSE POSITIVE,2.696370652,397.9,3.6129,0.017673,48.2
CONFIRMED,5.349553819,831.0,3.0278,0.025706,60.6
CONFIRMED,3.94105221,363.3,2.5984,0.017105,28.9
CONFIRMED,8.10904807,217.4,3.596,0.013127,14.1
FALSE POSITIVE,386.6030528,24927.0,6.8057,0.240528,994.0
CONFIRMED,21.67699193,857.2,3.4555,0.032666,34.3
CONFIRMED,4.99677968,934.7,2.1717,0.030014,28.2
CONFIRMED,4.280963604,750.8,2.875,0.025377,61.8
FALSE POSITIVE,1.50635409,2211.7,1.5155,0.049899,181.1
FALSE POSITIVE,670.645531,18091.0,53.412,0.131705,642.7
FALSE POSITIVE,61.2563628,5123.3,7.633,0.334628,85.3
CONFIRMED,38.3775486,724.2,5.588,0.024901,34.7
CONFIRMED,41.19725502,2213.9,4.6297,0.041693,51.2
CONFIRMED,6.252962249,1036.9,2.5819,0.028604,47.1
CONFIRMED,16.01308419,1121.9,3.2554,0.034369,33.2
CONFIRMED,32.62876672,1804.8,4.7971,0.03852,80.0
CONFIRMED,91.7732862,652.0,6.473,0.02432,19.1
CONFIRMED,4.959319244,9802.0,2.22739,0.103379,696.5
FALSE POSITIVE,2.701287801,860.4,3.3827,0.06584,48.3
CONFIRMED,4.49876511,460.0,3.7362,0.019817,29.5
FALSE POSITIVE,19.651209505,11766.0,5.2514,0.106953,513.4
CONFIRMED,5.412203927,601.6,2.9472,0.024775,166.7
CONFIRMED,41.43958662,2793.1,10.5989,0.048175,141.1
CONFIRMED,8.35389523,1041.6,2.2514,0.029305,43.4
CONFIRMED,4.125543472,1487.3,3.1744,0.036796,128.6
CONFIRMED,2.816504904,16814.0,2.50587,0.117059,1406.8
FALSE POSITIVE,33.93373447,8503.7,14.561,0.095386,236.1
CONFIRMED,3.689920099,426.7,2.6557,0.018878,35.6
CONFIRMED,4.431238488,1010.9,3.15,0.02933,71.1
CONFIRMED,11.37936986,1023.5,2.6255,0.035628,37.9
CONFIRMED,26.39432897,1510.9,3.573,0.03681,48.2
CONFIRMED,13.57078281,511.7,3.3539,0.023908,88.4
CONFIRMED,7.12594387,192.4,3.0014,0.01512,47.1
FALSE POSITIVE,7.442652004,24446.0,2.3078,0.143936,835.6
CONFIRMED,16.38489988,1127.1,3.0249,0.029758,28.9
CONFIRMED,7.8774163,1306.1,2.0805,0.03209,38.7
CONFIRMED,36.4454001,1122.3,4.007,0.029681,21.7
CONFIRMED,3.728732147,5226.5,2.683,0.068178,345.2
CONFIRMED,2.243380573,821.7,1.1196,0.032248,38.9
FALSE POSITIVE,10.405998015,14489.0,6.5036,0.111248,745.2
CONFIRMED,2.337437946,971.2,1.9982,0.027998,82.4
